h_pct,size,metric,x,value
4,4096,fct_cdf,19.3946,72.0002
4,4096,fct_cdf,19.6632,72.5002
4,4096,fct_cdf,19.9632,73.0002
4,4096,fct_cdf,20.2780,73.5002
4,4096,fct_cdf,20.5880,74.0002
4,4096,fct_cdf,20.9290,74.5002
4,4096,fct_cdf,21.2647,75.0003
4,4096,fct_cdf,21.6305,75.5003
4,4096,fct_cdf,21.9957,76.0003
4,4096,fct_cdf,22.3805,76.5003
4,4096,fct_cdf,22.7848,77.0003
4,4096,fct_cdf,23.1806,77.5003
4,4096,fct_cdf,23.5639,78.0003
4,4096,fct_cdf,23.9754,78.5004
4,4096,fct_cdf,24.4107,79.0004
4,4096,fct_cdf,24.8359,79.5004
4,4096,fct_cdf,25.2860,80.0004
4,4096,fct_cdf,25.7465,80.5004
4,4096,fct_cdf,26.2108,81.0004
4,4096,fct_cdf,26.7189,81.5004
4,4096,fct_cdf,27.2161,82.0005
4,4096,fct_cdf,27.6971,82.5005
4,4096,fct_cdf,28.1690,83.0005
4,4096,fct_cdf,28.6747,83.5005
4,4096,fct_cdf,29.2153,84.0005
4,4096,fct_cdf,29.7267,84.5005
4,4096,fct_cdf,30.2510,85.0006
4,4096,fct_cdf,30.8673,85.5006
4,4096,fct_cdf,31.4925,86.0006
4,4096,fct_cdf,32.0669,86.5006
4,4096,fct_cdf,32.6445,87.0006
4,4096,fct_cdf,33.2031,87.4996
4,4096,fct_cdf,33.7236,87.9996
4,4096,fct_cdf,34.2827,88.4997
4,4096,fct_cdf,34.8475,88.9997
4,4096,fct_cdf,35.3914,89.4997
4,4096,fct_cdf,35.9457,89.9997
4,4096,fct_cdf,36.4757,90.4997
4,4096,fct_cdf,36.9991,90.9997
4,4096,fct_cdf,37.5258,91.4997
4,4096,fct_cdf,37.9973,91.9998
4,4096,fct_cdf,38.4511,92.4998
4,4096,fct_cdf,38.8992,92.9998
4,4096,fct_cdf,39.3745,93.4998
4,4096,fct_cdf,39.8193,93.9998
4,4096,fct_cdf,40.2807,94.4998
4,4096,fct_cdf,40.7555,94.9998
4,4096,fct_cdf,41.2165,95.4999
4,4096,fct_cdf,41.7008,95.9999
4,4096,fct_cdf,42.1980,96.4999
4,4096,fct_cdf,42.7847,96.9999
4,4096,fct_cdf,43.3886,97.4999
4,4096,fct_cdf,44.0819,97.9999
4,4096,fct_cdf,44.8901,98.5000
4,4096,fct_cdf,45.8759,99.0000
4,4096,fct_cdf,47.5022,99.5000
4,4096,fct_cdf,78.5714,100.0000
4,4096,fct_p50,,12.221
4,4096,fct_p99,,45.879
4,4096,fct_p999,,51.079
4,4096,samples,,99997
4,65536,fct_cdf,113.6410,0.0040
4,65536,fct_cdf,137.9400,0.5041
4,65536,fct_cdf,145.6190,1.0041
4,65536,fct_cdf,150.4030,1.5042
4,65536,fct_cdf,154.1920,2.0042
4,65536,fct_cdf,157.1210,2.5043
4,65536,fct_cdf,159.7420,3.0044
4,65536,fct_cdf,162.0470,3.5044
4,65536,fct_cdf,163.7920,4.0045
4,65536,fct_cdf,165.1700,4.5045
4,65536,fct_cdf,166.8290,5.0046
4,65536,fct_cdf,168.2950,5.5047
4,65536,fct_cdf,169.7450,6.0047
4,65536,fct_cdf,170.8290,6.5048
4,65536,fct_cdf,172.1240,7.0048
4,65536,fct_cdf,173.2240,7.5049
4,65536,fct_cdf,174.3310,8.0050
4,65536,fct_cdf,175.3670,8.5050
4,65536,fct_cdf,176.4300,9.0051
4,65536,fct_cdf,177.3330,9.5051
4,65536,fct_cdf,178.1440,10.0052
4,65536,fct_cdf,179.2020,10.5053
4,65536,fct_cdf,180.2930,11.0053
4,65536,fct_cdf,180.9740,11.5054
4,65536,fct_cdf,182.0290,12.0054
4,65536,fct_cdf,182.8890,12.5015
4,65536,fct_cdf,183.8100,13.0016
4,65536,fct_cdf,184.8380,13.5016
