control	0	0	1783842937.986309302	1783843059.307063418
fast	150	30	1783843075.976853880	1783843197.323888931
mid	400	50	1783843214.070455107	1783843335.406646677
slow	1000	100	1783843352.074212258	1783843473.411942886
