init	20000000000	1:1	1783781897.552603627
p1_20to6	6000000000	1:1	1783781929.122627332
p1_6to20	20000000000	1:1	1783781951.246702518
p1_20to3	3000000000	1:1	1783781974.649565614
p1_3to20	20000000000	1:1	1783781997.448559295
p2_4to1	6000000000	4:1	1783782019.392495947
p2_1to4	6000000000	1:4	1783782042.776471460
p2_1to1	6000000000	1:1	1783782065.575476004
p3_flap1	12000000000	1:1	1783782087.680345855
p3_flap2	6000000000	1:1	1783782089.608453887
p3_flap3	12000000000	1:1	1783782091.520448433
p3_flap4	6000000000	1:1	1783782093.472354665
p3_flap5	12000000000	1:1	1783782095.352386137
p3_flap6	6000000000	1:1	1783782097.289510903
p3_flap7	12000000000	1:1	1783782099.209510055
p3_flap8	6000000000	1:1	1783782101.164373223
p3_flap9	12000000000	1:1	1783782104.411351173
p3_flap10	6000000000	1:1	1783782107.077372209
p3_settle	6000000000	1:1	1783782107.892296171
