init	20000000000	1:1	1783767139.298342064
p1_20to6	6000000000	1:1	1783767171.015193739
p1_6to20	20000000000	1:1	1783767193.142119171
p1_20to3	3000000000	1:1	1783767216.508223940
p1_3to20	20000000000	1:1	1783767239.282099586
p2_4to1	6000000000	4:1	1783767261.378153595
p2_1to4	6000000000	1:4	1783767284.857091208
p2_1to1	6000000000	1:1	1783767307.493181445
p3_flap1	12000000000	1:1	1783767329.437048533
p3_flap2	6000000000	1:1	1783767331.316262053
p3_flap3	12000000000	1:1	1783767333.218139409
p3_flap4	6000000000	1:1	1783767335.137190748
p3_flap5	12000000000	1:1	1783767337.073089045
p3_flap6	6000000000	1:1	1783767338.980118835
p3_flap7	12000000000	1:1	1783767340.893165754
p3_flap8	6000000000	1:1	1783767342.805645556
p3_flap9	12000000000	1:1	1783767346.117528934
p3_flap10	6000000000	1:1	1783767348.931580782
p3_settle	6000000000	1:1	1783767349.800545409
