arm,run,cls,src_vf,flow,gbps,tcp_retrans
sr1024,2,rdma,1,0,0.062,
sr1024,2,rdma,1,1,0.061,
sr1024,2,rdma,1,2,0.062,
sr1024,2,rdma,1,3,0.062,
sr1024,2,tcp,1,0,0.998,383405
sr1024,2,tcp,1,1,1.209,453855
sr1024,2,tcp,1,2,1.147,443092
sr1024,2,tcp,1,3,1.134,430356
sr1024,2,rdma,2,0,0.061,
sr1024,2,rdma,2,1,0.061,
sr1024,2,rdma,2,2,0.061,
sr1024,2,rdma,2,3,0.06,
sr1024,2,tcp,2,0,1.456,543084
sr1024,2,tcp,2,1,0.766,301374
sr1024,2,tcp,2,2,1.028,418420
sr1024,2,tcp,2,3,1.446,542733
sr1024,2,rdma,3,0,0.061,
sr1024,2,rdma,3,1,0.061,
sr1024,2,rdma,3,2,0.061,
sr1024,2,rdma,3,3,0.061,
sr1024,2,tcp,3,0,1.18,410257
sr1024,2,tcp,3,1,0.782,294153
sr1024,2,tcp,3,2,1.304,468826
sr1024,2,tcp,3,3,0.934,436307
sr1024,3,rdma,0,0,0.063,
sr1024,3,rdma,0,1,0.063,
sr1024,3,rdma,0,2,0.063,
sr1024,3,rdma,0,3,0.063,
sr1024,3,tcp,0,0,1.094,398617
sr1024,3,tcp,0,1,1.196,435409
sr1024,3,tcp,0,2,1.104,438312
sr1024,3,tcp,0,3,1.211,464479
sr1024,3,rdma,1,0,0.064,
sr1024,3,rdma,1,1,0.063,
sr1024,3,rdma,1,2,0.063,
sr1024,3,rdma,1,3,0.063,
sr1024,3,tcp,1,0,1.053,405986
sr1024,3,tcp,1,1,0.891,339135
sr1024,3,tcp,1,2,1.142,436393
sr1024,3,tcp,1,3,1.204,467489
sr1024,3,rdma,2,0,0.063,
sr1024,3,rdma,2,1,0.063,
sr1024,3,rdma,2,2,0.063,
sr1024,3,rdma,2,3,0.063,
sr1024,3,tcp,2,0,1.177,411628
sr1024,3,tcp,2,1,1.229,483686
sr1024,3,tcp,2,2,1.079,406681
sr1024,3,tcp,2,3,1.349,462013
sr1024,3,rdma,3,0,0.062,
sr1024,3,rdma,3,1,0.062,
sr1024,3,rdma,3,2,0.062,
sr1024,3,rdma,3,3,0.062,
sr1024,3,tcp,3,0,1.272,464519
sr1024,3,tcp,3,1,1.074,411193
sr1024,3,tcp,3,2,1.217,444620
sr1024,3,tcp,3,3,1.12,394158
sr,1,rdma,0,0,0.063,
sr,1,rdma,0,1,0.063,
sr,1,rdma,0,2,0.063,
sr,1,rdma,0,3,0.063,
sr,1,tcp,0,0,1.09,405344
sr,1,tcp,0,1,1.186,432895
sr,1,tcp,0,2,0.74,272916
sr,1,tcp,0,3,1.354,531254
sr,1,rdma,1,0,0.062,
sr,1,rdma,1,1,0.062,
sr,1,rdma,1,2,0.062,
sr,1,rdma,1,3,0.062,
sr,1,tcp,1,0,1.227,462016
sr,1,tcp,1,1,0.901,321432
sr,1,tcp,1,2,1.129,418001
sr,1,tcp,1,3,1.519,561782
sr,1,rdma,2,0,0.063,
sr,1,rdma,2,1,0.063,
sr,1,rdma,2,2,0.063,
sr,1,rdma,2,3,0.063,
sr,1,tcp,2,0,1.129,408812
sr,1,tcp,2,1,0.963,406886
sr,1,tcp,2,2,1.202,462159
