HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=485966 r=485966 s16=473107 ep=51359 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=509113 r=509113 s16=450168 ep=52362 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=446131 r=446131 s16=413976 ep=53363 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=446208 r=446208 s16=487299 ep=54376 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=428926 r=428926 s16=506873 ep=55375 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=453554 r=453554 s16=452506 ep=56386 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=416160 r=416160 s16=456590 ep=57395 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=449368 r=449368 s16=371574 ep=58410 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=448154 r=448154 s16=460077 ep=59425 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=463391 r=463391 s16=449642 ep=60425 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=465028 r=465028 s16=439240 ep=61427 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=456382 r=456382 s16=493795 ep=62429 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=432574 r=432574 s16=450326 ep=63429 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=457374 r=457374 s16=491474 ep=64431 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=390290 r=390290 s16=510855 ep=65431 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=425501 r=425501 s16=469474 ep=66448 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=454420 r=454420 s16=426558 ep=67450 evb32=0
