1:1	1	1783777511.887026678	1783777603.208044782
1:1	2	1783777618.737239848	1783777710.059126365
1:1	3	1783777725.544760300	1783777816.891018776
3:1	1	1783777833.625099367	1783777924.947459829
3:1	2	1783777941.040970124	1783778032.383464503
3:1	3	1783778047.918226760	1783778139.234951192
4:1	1	1783778156.610293500	1783778247.935530624
4:1	2	1783778263.486331759	1783778354.835196404
4:1	3	1783778370.334119650	1783778461.684546839
8:1	1	1783778480.496785295	1783778571.815478690
8:1	2	1783778587.308733441	1783778678.632147625
8:1	3	1783778694.174085029	1783778785.495414493
1:4	1	1783778804.388698633	1783778895.791354108
1:4	2	1783778911.305987550	1783779002.626461914
1:4	3	1783779017.417142781	1783779108.791030192
