w2p01_none_default	none	default	1783842183.975237863	1783842245.421278403
w2p02_v_periods_4	v_periods	4	1783842265.603111157	1783842327.003782991
w2p03_v_periods_8	v_periods	8	1783842346.779263270	1783842408.188298799
w2p04_v_periods_16	v_periods	16	1783842428.027067441	1783842489.406133782
w2p05_a_frac_linerate_0.00025	a_frac_linerate	0.00025	1783842509.203324910	1783842570.587513539
w2p06_a_frac_linerate_0.001	a_frac_linerate	0.001	1783842590.983312826	1783842652.351693930
w2p07_beta_0.15	beta	0.15	1783842672.535171645	1783842733.942398764
