config,arm,run,cls,vf,flow,gbps,tcp_retrans
band03-12,sr,1,tcp,1,3,5.734,4540
band03-12,sr,1,rdma,2,0,0.017,
band03-12,sr,1,rdma,2,1,0.017,
band03-12,sr,1,rdma,2,2,0.017,
band03-12,sr,1,rdma,2,3,0.017,
band03-12,sr,1,tcp,2,0,6.758,4764
band03-12,sr,1,tcp,2,1,5.361,4190
band03-12,sr,1,tcp,2,2,5.568,5254
band03-12,sr,1,tcp,2,3,5.68,6417
band03-12,sr,1,rdma,3,0,0.019,
band03-12,sr,1,rdma,3,1,0.019,
band03-12,sr,1,rdma,3,2,0.019,
band03-12,sr,1,rdma,3,3,0.019,
band03-12,sr,1,tcp,3,0,7.121,4937
band03-12,sr,1,tcp,3,1,6.087,5663
band03-12,sr,1,tcp,3,2,5.76,7479
band03-12,sr,1,tcp,3,3,6.398,4535
band03-12,sr,2,rdma,0,0,0.019,
band03-12,sr,2,rdma,0,1,0.019,
band03-12,sr,2,rdma,0,2,0.019,
band03-12,sr,2,rdma,0,3,0.019,
band03-12,sr,2,tcp,0,0,4.541,9895
band03-12,sr,2,tcp,0,1,4.179,9004
band03-12,sr,2,tcp,0,2,4.456,9742
band03-12,sr,2,tcp,0,3,4.535,9760
band03-12,sr,2,rdma,1,0,0.019,
band03-12,sr,2,rdma,1,1,0.019,
band03-12,sr,2,rdma,1,2,0.019,
band03-12,sr,2,rdma,1,3,0.019,
band03-12,sr,2,tcp,1,0,6.879,6209
band03-12,sr,2,tcp,1,1,7.807,10564
band03-12,sr,2,tcp,1,2,6.451,4774
band03-12,sr,2,tcp,1,3,6.013,5084
band03-12,sr,2,rdma,2,0,0.019,
band03-12,sr,2,rdma,2,1,0.019,
band03-12,sr,2,rdma,2,2,0.019,
band03-12,sr,2,rdma,2,3,0.019,
band03-12,sr,2,tcp,2,0,6.612,4387
band03-12,sr,2,tcp,2,1,6.31,7893
band03-12,sr,2,tcp,2,2,6.7,9793
band03-12,sr,2,tcp,2,3,6.216,8509
band03-12,sr,2,rdma,3,0,0.019,
band03-12,sr,2,rdma,3,1,0.019,
band03-12,sr,2,rdma,3,2,0.019,
band03-12,sr,2,rdma,3,3,0.019,
band03-12,sr,2,tcp,3,0,7.042,5357
band03-12,sr,2,tcp,3,1,4.66,13430
band03-12,sr,2,tcp,3,2,6.827,11451
band03-12,sr,2,tcp,3,3,4.635,12939
band03-12,sr,3,rdma,0,0,0.017,
band03-12,sr,3,rdma,0,1,0.017,
band03-12,sr,3,rdma,0,2,0.017,
band03-12,sr,3,rdma,0,3,0.017,
band03-12,sr,3,tcp,0,0,6.747,4461
band03-12,sr,3,tcp,0,1,5.719,3595
band03-12,sr,3,tcp,0,2,5.417,5357
band03-12,sr,3,tcp,0,3,5.295,4262
band03-12,sr,3,rdma,1,0,0.016,
band03-12,sr,3,rdma,1,1,0.016,
band03-12,sr,3,rdma,1,2,0.016,
band03-12,sr,3,rdma,1,3,0.016,
band03-12,sr,3,tcp,1,0,4.809,3100
band03-12,sr,3,tcp,1,1,4.055,2739
band03-12,sr,3,tcp,1,2,5.963,5943
band03-12,sr,3,tcp,1,3,7.12,3397
band03-12,sr,3,rdma,2,0,0.016,
band03-12,sr,3,rdma,2,1,0.016,
band03-12,sr,3,rdma,2,2,0.016,
band03-12,sr,3,rdma,2,3,0.016,
band03-12,sr,3,tcp,2,0,5.989,4754
band03-12,sr,3,tcp,2,1,6.397,7471
band03-12,sr,3,tcp,2,2,6.236,3881
band03-12,sr,3,tcp,2,3,5.882,5177
band03-12,sr,3,rdma,3,0,0.016,
band03-12,sr,3,rdma,3,1,0.016,
band03-12,sr,3,rdma,3,2,0.016,
band03-12,sr,3,rdma,3,3,0.016,
band03-12,sr,3,tcp,3,0,6.324,2496
band03-12,sr,3,tcp,3,1,5.52,5519
band03-12,sr,3,tcp,3,2,6.518,3699
band03-12,sr,3,tcp,3,3,5.85,4763
band25-47,gbn,1,rdma,0,0,0.021,
band25-47,gbn,1,rdma,0,1,0.021,
band25-47,gbn,1,rdma,0,2,0.021,
band25-47,gbn,1,rdma,0,3,0.021,
band25-47,gbn,1,tcp,0,0,6.628,5923
band25-47,gbn,1,tcp,0,1,5.892,3486
band25-47,gbn,1,tcp,0,2,6.304,4085
band25-47,gbn,1,tcp,0,3,5.712,3618
band25-47,gbn,1,rdma,1,0,0.02,
band25-47,gbn,1,rdma,1,1,0.02,
band25-47,gbn,1,rdma,1,2,0.02,
band25-47,gbn,1,rdma,1,3,0.02,
band25-47,gbn,1,tcp,1,0,6.1,5515
band25-47,gbn,1,tcp,1,1,5.371,4159
band25-47,gbn,1,tcp,1,2,5.928,4506
band25-47,gbn,1,tcp,1,3,6.732,5518
band25-47,gbn,1,rdma,2,0,0.02,
band25-47,gbn,1,rdma,2,1,0.02,
band25-47,gbn,1,rdma,2,2,0.02,
