arm,size,metric,x,value
cc,4096,fct_cdf,1056.3100,38.6790
cc,4096,fct_cdf,1056.4700,39.0043
cc,4096,fct_cdf,1056.7700,39.3545
cc,4096,fct_cdf,1056.9400,39.6798
cc,4096,fct_cdf,1057.1400,40.0050
cc,4096,fct_cdf,1057.3800,40.3553
cc,4096,fct_cdf,1057.6300,40.6805
cc,4096,fct_cdf,1057.8000,41.0058
cc,4096,fct_cdf,1058.0000,41.3560
cc,4096,fct_cdf,1058.1900,41.6813
cc,4096,fct_cdf,1058.3800,42.0065
cc,4096,fct_cdf,1058.6800,42.3568
cc,4096,fct_cdf,1058.7700,42.6820
cc,4096,fct_cdf,1058.9100,43.0073
cc,4096,fct_cdf,1059.0900,43.3575
cc,4096,fct_cdf,1059.3800,43.6828
cc,4096,fct_cdf,1059.5600,44.0080
cc,4096,fct_cdf,1059.6900,44.3583
cc,4096,fct_cdf,1059.8800,44.6835
cc,4096,fct_cdf,1060.0400,45.0088
cc,4096,fct_cdf,1060.1900,45.3590
cc,4096,fct_cdf,1060.3400,45.6843
cc,4096,fct_cdf,1060.5600,46.0095
cc,4096,fct_cdf,1060.6900,46.3348
cc,4096,fct_cdf,1060.8600,46.6850
cc,4096,fct_cdf,1061.0300,47.0103
cc,4096,fct_cdf,1061.2400,47.3355
cc,4096,fct_cdf,1061.3700,47.6858
cc,4096,fct_cdf,1061.5900,48.0110
cc,4096,fct_cdf,1061.8200,48.3363
cc,4096,fct_cdf,1061.9400,48.6865
cc,4096,fct_cdf,1062.0800,49.0118
cc,4096,fct_cdf,1062.2400,49.3370
cc,4096,fct_cdf,1062.3800,49.6873
cc,4096,fct_cdf,1062.5200,50.0125
cc,4096,fct_cdf,1062.8000,50.3378
cc,4096,fct_cdf,1062.9200,50.6880
cc,4096,fct_cdf,1063.1300,51.0133
cc,4096,fct_cdf,1063.2700,51.3385
cc,4096,fct_cdf,1063.4400,51.6888
cc,4096,fct_cdf,1063.5900,52.0140
cc,4096,fct_cdf,1063.7800,52.3393
cc,4096,fct_cdf,1063.9700,52.6895
cc,4096,fct_cdf,1064.1800,53.0148
cc,4096,fct_cdf,1064.3400,53.3400
cc,4096,fct_cdf,1064.5000,53.6903
cc,4096,fct_cdf,1064.7000,54.0155
cc,4096,fct_cdf,1064.9500,54.3408
cc,4096,fct_cdf,1065.1900,54.6660
cc,4096,fct_cdf,1065.3400,55.0163
cc,4096,fct_cdf,1065.5000,55.3415
cc,4096,fct_cdf,1065.6100,55.6668
cc,4096,fct_cdf,1065.6800,56.0170
cc,4096,fct_cdf,1065.8700,56.3423
cc,4096,fct_cdf,1066.0000,56.6675
cc,4096,fct_cdf,1066.3100,57.0178
cc,4096,fct_cdf,1066.4100,57.3430
cc,4096,fct_cdf,1066.5600,57.6683
cc,4096,fct_cdf,1066.6800,58.0185
cc,4096,fct_cdf,1066.8200,58.3438
cc,4096,fct_cdf,1066.9500,58.6690
cc,4096,fct_cdf,1067.1700,59.0193
cc,4096,fct_cdf,1067.3600,59.3445
cc,4096,fct_cdf,1067.5200,59.6698
cc,4096,fct_cdf,1067.6500,60.0200
cc,4096,fct_cdf,1067.8200,60.3453
cc,4096,fct_cdf,1068.0000,60.6705
cc,4096,fct_cdf,1068.2200,61.0208
cc,4096,fct_cdf,1068.3900,61.3460
cc,4096,fct_cdf,1068.5200,61.6713
cc,4096,fct_cdf,1068.6500,62.0215
cc,4096,fct_cdf,1068.8000,62.3468
cc,4096,fct_cdf,1068.9000,62.6720
cc,4096,fct_cdf,1069.0500,62.9972
cc,4096,fct_cdf,1069.1800,63.3475
cc,4096,fct_cdf,1069.3200,63.6728
cc,4096,fct_cdf,1069.5700,63.9980
cc,4096,fct_cdf,1069.7600,64.3483
cc,4096,fct_cdf,1070.0400,64.6735
cc,4096,fct_cdf,1070.1300,64.9987
cc,4096,fct_cdf,1070.2600,65.3490
cc,4096,fct_cdf,1070.3400,65.6743
