phase,ts_ns,rate
wave10hz,1783000213195318913,20971
wave10hz,1783000213295461488,41943
wave10hz,1783000213395611935,20971
wave10hz,1783000213495773999,41943
wave10hz,1783000213595920092,20971
wave10hz,1783000213696051528,41943
wave10hz,1783000213796228504,20971
wave10hz,1783000213896395885,41943
wave10hz,1783000213996535383,20971
wave10hz,1783000214096659483,41943
wave10hz,1783000214196794322,20971
wave10hz,1783000214296950073,41943
wave10hz,1783000214397096457,20971
wave10hz,1783000214497256547,41943
wave10hz,1783000214597444381,20971
wave10hz,1783000214697582986,41943
wave10hz,1783000214797707942,20971
wave10hz,1783000214897836862,41943
wave10hz,1783000214997955850,20971
wave10hz,1783000215098076301,41943
wave10hz,1783000215198219124,20971
wave10hz,1783000215298370228,41943
wave10hz,1783000215398517810,20971
wave10hz,1783000215498670235,41943
wave10hz,1783000215598803496,20971
wave10hz,1783000215698939164,41943
wave10hz,1783000215799064680,20971
wave10hz,1783000215899216947,41943
wave10hz,1783000215999349506,20971
wave10hz,1783000216099465842,41943
wave10hz,1783000216199593693,20971
wave10hz,1783000216299721822,41943
wave10hz,1783000216399868475,20971
wave10hz,1783000216500034918,41943
wave10hz,1783000216600239498,20971
wave10hz,1783000216700391095,41943
wave10hz,1783000216800565362,20971
wave10hz,1783000216900721035,41943
wave10hz,1783000217000849037,20971
wave10hz,1783000217101026546,41943
wave10hz,1783000217201183926,20971
wave10hz,1783000217301318438,41943
wave10hz,1783000217401455393,20971
wave10hz,1783000217501597087,41943
wave10hz,1783000217601733115,20971
maxrate,1783000217701868672,41943
maxrate,1783000217701876486,20971
maxrate,1783000217701879656,41943
maxrate,1783000217701882618,20971
maxrate,1783000217701885412,41943
maxrate,1783000217701888398,20971
maxrate,1783000217701891159,41943
maxrate,1783000217701894217,20971
maxrate,1783000217701918633,41943
maxrate,1783000217701921391,20971
maxrate,1783000217701924101,41943
maxrate,1783000217701927108,20971
maxrate,1783000217701930032,41943
maxrate,1783000217701932782,20971
maxrate,1783000217701935843,41943
maxrate,1783000217701938746,20971
maxrate,1783000217701941453,41943
maxrate,1783000217701944154,20971
maxrate,1783000217701947030,41943
maxrate,1783000217701949780,20971
maxrate,1783000217701957945,41943
maxrate,1783000217701960955,20971
maxrate,1783000217701963844,41943
maxrate,1783000217701966562,20971
maxrate,1783000217701969236,41943
maxrate,1783000217701972118,20971
maxrate,1783000217701974828,41943
maxrate,1783000217702010489,20971
maxrate,1783000217702014931,41943
maxrate,1783000217702017850,20971
maxrate,1783000217702020805,41943
maxrate,1783000217702023818,20971
maxrate,1783000217702026515,41943
maxrate,1783000217702029289,20971
maxrate,1783000217702031965,41943
maxrate,1783000217702034960,20971
maxrate,1783000217702037815,41943
maxrate,1783000217702040743,20971
maxrate,1783000217702043453,41943
maxrate,1783000217702046674,20971
maxrate,1783000217702049387,41943
maxrate,1783000217702052112,20971
maxrate,1783000217702054843,41943
maxrate,1783000217702058964,20971
maxrate,1783000217702061665,41943
maxrate,1783000217702064374,20971
maxrate,1783000217702067339,41943
maxrate,1783000217702070984,20971
maxrate,1783000217702073682,41943
maxrate,1783000217702076370,20971
maxrate,1783000217702079295,41943
maxrate,1783000217702082163,20971
maxrate,1783000217702084845,41943
maxrate,1783000217702088763,20971
maxrate,1783000217702091549,41943
maxrate,1783000217702094289,20971
maxrate,1783000217702097002,41943
maxrate,1783000217702099693,20971
maxrate,1783000217702102361,41943
maxrate,1783000217702105576,20971
maxrate,1783000217702108247,41943
maxrate,1783000217702110932,20971
maxrate,1783000217702113685,41943
maxrate,1783000217702116549,20971
maxrate,1783000217702119213,41943
maxrate,1783000217702123688,20971
maxrate,1783000217702126489,41943
maxrate,1783000217702129384,20971
maxrate,1783000217702132090,41943
maxrate,1783000217702134815,20971
maxrate,1783000217702137519,41943
maxrate,1783000217702140223,20971
maxrate,1783000217702142951,41943
maxrate,1783000217702145770,20971
maxrate,1783000217702148495,41943
maxrate,1783000217702151159,20971
maxrate,1783000217702153842,41943
maxrate,1783000217702156718,20971
maxrate,1783000217702159437,41943
maxrate,1783000217702162114,20971
maxrate,1783000217702164821,41943
maxrate,1783000217702168617,20971
maxrate,1783000217702171412,41943
maxrate,1783000217702174146,20971
maxrate,1783000217702176868,41943
maxrate,1783000217702179599,20971
maxrate,1783000217702182315,41943
maxrate,1783000217702185213,20971
maxrate,1783000217702187929,41943
maxrate,1783000217702190829,20971
maxrate,1783000217702193560,41943
maxrate,1783000217702196779,20971
maxrate,1783000217702199492,41943
maxrate,1783000217702202210,20971
maxrate,1783000217702204954,41943
maxrate,1783000217702207697,20971
maxrate,1783000217702210385,41943
maxrate,1783000217702213298,20971
maxrate,1783000217702215966,41943
maxrate,1783000217702218697,20971
maxrate,1783000217702221364,41943
maxrate,1783000217702224171,20971
maxrate,1783000217702226850,41943
maxrate,1783000217702229730,20971
maxrate,1783000217702232455,41943
maxrate,1783000217702235165,20971
maxrate,1783000217702237829,41943
maxrate,1783000217702240696,20971
maxrate,1783000217702243409,41943
maxrate,1783000217702246122,20971
maxrate,1783000217702248817,41943
maxrate,1783000217702251512,20971
maxrate,1783000217702254197,41943
maxrate,1783000217702257189,20971
maxrate,1783000217702266457,41943
maxrate,1783000217702269433,20971
maxrate,1783000217702272088,41943
maxrate,1783000217702275001,20971
maxrate,1783000217702277678,41943
maxrate,1783000217702280384,20971
maxrate,1783000217702283073,41943
maxrate,1783000217702285986,20971
