3:1	1	1783782890.386576417	1783782981.707629013
3:1	2	1783782997.222440948	1783783088.543783187
3:1	3	1783783104.081513595	1783783195.395691561
3:1	4	1783783211.262383855	1783783302.575629573
3:1	5	1783783318.072696229	1783783409.390979296
3:1	6	1783783424.936975164	1783783516.251182365
3:1	7	1783783531.234157219	1783783622.546982616
3:1	8	1783783638.114448616	1783783729.431149667
3:1	9	1783783744.929365397	1783783836.247173963
3:1	10	1783783851.071032450	1783783942.418999877
