1783623387.765115561 7675699103905
1783623387.970546081 7675699103905
1783623388.175879637 7675699103905
1783623388.381283607 7675699103905
1783623388.586667560 7675699103905
1783623388.791946568 7675699103905
1783623388.997118184 7675699103905
1783623389.202413192 7675699104045
1783623389.407856136 7675699104045
1783623389.613164156 7675699104045
1783623389.818489576 7675699104045
1783623390.023865702 7675699104045
1783623390.229290317 7675801819685
1783623390.434686613 7676543915369
1783623390.640001676 7676662038523
1783623390.845397772 7676719459217
1783623391.050717345 7676783659273
1783623391.256025662 7676858758663
1783623391.461467900 7676942861291
1783623391.666806926 7677035943337
1783623391.872239326 7677140490747
1783623392.077552367 7677254693049
1783623392.282736164 7677406490979
1783623392.487954725 7677543376541
1783623392.693236625 7677689035503
1783623392.898662106 7677839247365
1783623393.103951885 7677989880367
1783623393.309248250 7678139712497
1783623393.514561724 7678288538321
1783623393.719915974 7678438686329
1783623393.925333340 7678588167811
1783623394.130643813 7678773998185
1783623394.336111218 7678926690395
1783623394.541361492 7679075727755
1783623394.746577415 7679225577197
1783623394.951932171 7679373400258
1783623395.157239244 7679525421426
1783623395.362716094 7679638792430
1783623395.568103015 7679756607264
1783623395.773538918 7679883064836
1783623395.978774745 7680019593804
1783623396.184092683 7680168080574
1783623396.389502432 7680325120446
1783623396.594641890 7680503928652
1783623396.799892427 7680654668788
1783623397.005030004 7680802830878
1783623397.210447209 7680955181398
1783623397.415961520 7681101683430
1783623397.621322384 7681252418156
1783623397.826582136 7681401388692
1783623398.031880932 7681568614486
1783623398.237213892 7681700880736
1783623398.442613237 7681886577024
1783623398.647974758 7682037835004
1783623398.853227189 7682188284970
1783623399.058522527 7682337701370
1783623399.263872460 7682489103850
1783623399.469233560 7682637560438
1783623399.674564691 7682788309100
1783623399.879938070 7682937273258
1783623400.085343750 7683088351058
1783623400.290730598 7683271614320
1783623400.496194003 7683425161258
1783623400.701565205 7683574725940
1783623400.907040047 7683725459584
1783623401.112413320 7683873988682
1783623401.317833620 7684023962456
1783623401.523167116 7684175373446
1783623401.728517369 7684322764024
1783623401.934035217 7684474081946
1783623402.139368594 7684652896644
1783623402.344601854 7684808879032
1783623402.549939274 7684960810852
1783623402.755156635 7685115470992
1783623402.960476556 7685259441432
1783623403.165795329 7685407786412
1783623403.371279952 7685558181310
1783623403.576697012 7685707737336
1783623403.782061395 7685860802136
1783623403.987370208 7686006298782
1783623404.192620122 7686187470058
1783623404.398124688 7686339289708
1783623404.603533242 7686485825184
1783623404.808942307 7686637133498
1783623405.014531267 7686790591378
1783623405.219994203 7686893796578
1783623405.425485506 7687079791780
1783623405.630976679 7687204084856
1783623405.836327695 7687336210288
1783623406.041814580 7687479147396
1783623406.247273277 7687664290540
1783623406.452720505 7687816720582
1783623406.658444413 7687972524262
1783623406.863902831 7688111689908
1783623407.069297252 7688252097806
1783623407.274700546 7688403435334
1783623407.480094265 7688547852710
1783623407.685548362 7688695107730
1783623407.891013111 7688848103672
1783623408.096466618 7689027742484
1783623408.301966639 7689181937684
1783623408.507350610 7689329768602
1783623408.712755833 7689482308520
1783623408.918196799 7689629044198
1783623409.123537953 7689779329782
1783623409.328939694 7689929542872
1783623409.534359485 7690079076160
1783623409.739678558 7690228997030
1783623409.945134417 7690378689420
1783623410.150443109 7690566005284
1783623410.355839357 7690716607974
1783623410.561252495 7690865627200
1783623410.766715930 7691015885604
1783623410.972144445 7691165424432
1783623411.177609891 7691316231668
1783623411.383047624 7691465215188
1783623411.588521737 7691615504018
1783623411.794081811 7691765022174
1783623411.999529164 7691950170842
1783623412.204917872 7692101728600
1783623412.410210339 7692252619036
1783623412.615539635 7692401676148
1783623412.820962909 7692552507188
1783623413.026433923 7692701591350
1783623413.231937842 7692852474342
1783623413.437354517 7693001483830
1783623413.642739972 7693152558384
1783623413.848004418 7693335778366
1783623414.053272185 7693489333944
1783623414.258504251 7693638775246
1783623414.463684106 7693789305426
1783623414.668928591 7693940681230
1783623414.874423942 7694088802880
1783623415.079649304 7694238168572
1783623415.284958548 7694388661818
1783623415.490461255 7694537677928
1783623415.695931915 7694690084988
1783623415.901453663 7694875372330
1783623416.106847370 7695025187002
1783623416.312284972 7695175182676
1783623416.517582391 7695325014676
1783623416.722954156 7695474875890
1783623416.928430576 7695624728594
1783623417.133899223 7695774282440
1783623417.339355424 7695951959180
1783623417.544727174 7696074236740
1783623417.750166642 7696261274336
1783623417.955671747 7696411585904
1783623418.161200054 7696566345344
1783623418.366635866 7696711654782
1783623418.572080994 7696860788862
1783623418.777453325 7697011058086
1783623418.982893726 7697160739786
1783623419.188235924 7697317568620
1783623419.393664009 7697460462344
1783623419.599172127 7697610221834
1783623419.804827367 7697692961040
1783623420.010244868 7697803396574
1783623420.215611010 7698071081806
1783623420.420982621 7698225578948
1783623420.626421656 7698268890424
1783623420.831908816 7698449201620
1783623421.037173105 7698579245362
1783623421.242606495 7698827346190
1783623421.447902603 7698960638432
1783623421.653109769 7699044586748
1783623421.858421201 7699208615230
1783623422.063701951 7699368818176
1783623422.268993089 7699631251368
1783623422.474442422 7699791351748
1783623422.679793484 7700112030168
1783623422.885202020 7700215202036
1783623423.090494315 7700349015500
1783623423.295800210 7700663960554
1783623423.501221521 7700866510980
1783623423.706669985 7701266267508
1783623423.911994600 7701318822558
1783623424.117382953 7701583818648
1783623424.322620778 7701926522446
1783623424.527978859 7702165903618
1783623424.733485043 7702654703598
1783623424.938907632 7703035054311
1783623425.144292197 7703080959555
1783623425.349656958 7703451945799
1783623425.555044508 7703778304409
1783623425.760480830 7704296551079
1783623425.965963412 7704456121311
1783623426.171198615 7705194710545
1783623426.376509146 7705504757659
1783623426.581770618 7705583498975
1783623426.786963830 7706155894841
1783623426.992275975 7706389590427
1783623427.197564742 7707189449067
1783623427.402782700 7707547245191
1783623427.608103687 7707694097779
