1:1	1	1783764033.730697495	1783764125.052208943
1:1	2	1783764140.634156925	1783764232.003911863
1:1	3	1783764247.534200389	1783764338.875993006
3:1	1	1783764357.022534052	1783764448.339221026
3:1	2	1783764463.848823587	1783764555.166408120
3:1	3	1783764570.823959820	1783764662.139369720
4:1	1	1783764681.026903123	1783764772.382945427
4:1	2	1783764787.891375940	1783764879.214762766
4:1	3	1783764894.739650615	1783764986.074526697
8:1	1	1783765004.895824833	1783765096.211488125
8:1	2	1783765111.976026203	1783765203.299975888
8:1	3	1783765218.099395439	1783765309.415430681
1:4	1	1783765328.300230293	1783765419.619430833
1:4	2	1783765435.155543613	1783765526.479451073
1:4	3	1783765541.260466324	1783765632.578837855
